date,price_usd,price_eur
2025-04-24 13:04:57.746,92758.39429904126,81534.81410564586
2025-04-24 14:04:57.416,92792.50515530353,81570.17958182112
2025-04-24 15:09:28.467,93148.31526966579,81959.24649115825
2025-04-24 16:04:56.308,93263.62351695224,82090.64141962137
2025-04-24 17:09:48.436,93440.4683204101,82117.3523693428
2025-04-24 18:04:53.816,93008.71420843324,81806.09360817008
2025-04-24 19:04:47.205,93426.4096716433,82111.07006426221
2025-04-24 20:04:41.416,93646.9616071421,82226.99558003595
2025-04-24 21:04:09.109,93499.2338094935,82096.72174872433
2025-04-24 22:00:03.429,93368.35893682836,81992.82492575988
2025-04-24 23:01:45.573,93463.48432069764,82080.19271134259
2025-04-25 00:06:42.330,93950.39664992713,82683.30138128798
2025-04-25 01:09:27.251,93937.73291095014,82788.63914268112
2025-04-25 02:02:10.684,93724.29216200934,82621.2438910369
2025-04-25 03:07:12.949,93056.1298372759,81988.96431572869
2025-04-25 04:04:33.377,93340.28087687395,82410.69402787727
2025-04-25 05:04:50.391,93109.0023842389,82143.36895544232
2025-04-25 06:06:28.892,93263.24896812698,82304.72395112309
2025-04-25 07:00:20.630,93584.09278760613,82478.28132831534
2025-04-25 08:03:34.573,93768.70443780805,82543.27775474031
2025-04-25 09:09:35.239,93672.32266122216,82521.00733769432
2025-04-25 10:04:41.302,93826.3479104858,82693.66407821084
2025-04-25 11:02:51.869,93667.68760388183,82503.43591837514
2025-04-25 12:09:31.092,94610.85462379066,83320.65750896985
2025-04-25 13:04:42.627,94458.97869936838,83204.85260018954
2025-04-25 14:04:51.968,94489.4100285538,83224.94950140978
2025-04-25 15:04:54.616,95501.30690513337,84004.09556943817
2025-04-25 16:01:32.073,95132.21312364972,83585.54075576672
2025-04-25 17:02:18.402,95292.65874105405,83821.13789648848
2025-04-25 18:09:48.085,94715.48156893643,83268.6420439226
2025-04-25 19:04:59.896,95057.4656296913,83533.93424380072
2025-04-25 20:02:49.627,95182.4305032165,83712.5668978569
2025-04-25 21:05:59.576,94953.82159752958,83558.41346761005
2025-04-25 22:04:47.983,94682.09884824745,82992.55224234397
2025-04-25 23:04:42.984,94928.50897300708,83233.3166675326
2025-04-26 00:09:38.633,94800.21413700008,83120.82775532166
2025-04-26 01:05:32.469,94888.07294762752,83188.37355318504
2025-04-26 02:04:57.126,95066.6945668174,83344.97112672884
2025-04-26 03:04:39.206,95078.20905423805,83355.06587785049
2025-04-26 04:04:42.650,94791.3808696889,83103.60360845627
2025-04-26 05:06:35.268,94642.75101322084,82973.29981329071
2025-04-26 06:04:51.081,94671.43197965455,82998.44441656314
2025-04-26 07:00:03.751,94734.50640966927,83053.74176935706
2025-04-26 08:02:02.029,94687.45719807257,83012.49372555024
2025-04-26 09:00:22.845,94413.16016295046,82809.78277892384
2025-04-26 10:08:52.585,94272.05009027116,82686.01513417684
2025-04-26 11:08:01.761,94283.01021932048,82695.628263366
2025-04-26 12:04:02.061,94189.89391089336,82613.95594924456
2025-04-26 13:09:40.469,94293.46684998806,82704.79977412453
2025-04-26 14:09:47.356,94103.96485256299,82538.587572183
2025-04-26 15:09:59.427,94305.68621590677,82715.51737997183
2025-04-26 16:04:46.285,94400.20474084756,82798.4195781974
2025-04-26 17:04:44.853,94295.89439764651,82706.92897617575
2025-04-26 18:02:44.127,94356.36388475669,82816.58058165095
2025-04-26 19:08:36.883,94222.6479037988,82699.21806516421
2025-04-26 20:09:49.954,94375.50019793019,82833.37652372333
2025-04-26 21:09:07.622,94211.33026101453,82689.28457009245
2025-04-26 22:04:52.473,94379.96507670345,82837.29534782263
2025-04-26 23:02:10.001,94749.59569570786,83161.72014212278
2025-04-27 00:03:27.656,94665.59782689773,83087.99521266815
2025-04-27 01:04:56.964,94915.7893105099,83402.50406714506
2025-04-27 02:04:51.462,94305.62927021507,82866.356439738
2025-04-27 03:04:56.347,94357.67472686237,82912.08878249397
2025-04-27 04:06:09.291,94208.71672021072,82781.19938204916
2025-04-27 05:05:15.825,94066.04042250656,82655.82971925652
2025-04-27 06:05:07.325,93935.71681033401,82541.3143612405
2025-04-27 07:01:52.282,94020.6114665585,82615.91129566498
2025-04-27 08:05:24.098,94099.61866309473,82685.33491926134
2025-04-27 09:04:57.311,94243.8134242909,82812.03885592442
2025-04-27 10:00:03.880,94186.57489664084,82931.27919649227
2025-04-27 11:06:23.248,94077.48711673608,82774.07703966025
2025-04-27 12:05:48.613,93951.79052641905,82663.48289466981
2025-04-27 13:12:35.272,93780.92738165492,82513.14895674908
2025-04-27 14:09:54.041,94056.02974497322,82755.19777111469
2025-04-27 15:03:14.675,94012.54230975345,82716.93535123658
2025-04-27 16:05:15.224,93931.92039415007,82646.00015879294
2025-04-27 17:04:49.764,93878.00807425859,82598.56540413642
2025-04-27 18:04:46.310,94058.43364934066,82438.73693160206
2025-04-27 19:08:06.269,94313.65279047523,82662.42706569828
2025-04-27 20:04:52.413,94438.10991685066,83084.57146642703
2025-04-27 21:04:55.766,94335.7782572878,82980.01461378852
2025-04-27 22:05:13.363,94386.94133688205,83079.85769943027
2025-04-27 23:09:36.186,93875.1098671888,82705.37991964135
2025-04-28 00:04:56.593,93801.93640023789,82685.18751163651
2025-04-28 01:01:33.167,93473.59896331423,82269.75991797242
2025-04-28 02:04:56.658,92972.1233992771,81898.30675331262
2025-04-28 03:04:37.908,93591.78111122278,82434.70488495391
2025-04-28 04:04:58.089,93898.55817619186,82685.47405446555
2025-04-28 05:01:09.877,94052.92982265026,82719.9279907402
2025-04-28 06:12:25.580,94337.99091792513,82982.52695113447
2025-04-28 07:09:21.027,94592.80364525352,83427.06910296778
2025-04-28 08:04:33.975,94719.80077278939,83467.27788058357
2025-04-28 09:04:36.188,94726.46121377338,83501.47028640244
2025-04-28 10:09:29.796,94753.04302427365,83460.56486272677
2025-04-28 11:02:52.487,95095.05194869367,83779.6917173186
2025-04-28 12:06:04.374,95209.88562041643,83841.15880813937
2025-04-28 13:02:53.485,95379.01155145206,84025.85704845961
2025-04-28 14:04:48.768,94160.65951029157,82852.3409457436
2025-04-28 15:07:34.634,94518.10809357835,83039.8290466942
2025-04-28 16:08:27.201,93743.29134255854,82296.2980367187
2025-04-28 17:09:40.584,93768.16716030957,82182.92257131901
2025-04-28 18:04:53.496,94088.3492259459,82524.79701772792
